model,scenario,material,face_count_from_source,source_cell,recipe_mapping_status
型号D,入库前半成品检,阀钉,检1个面,T12,未关联已发布配方
型号E,来料单品检,大底座,检4个面,B13,未关联已发布配方
型号E,来料单品检,压缩端盖,检1个面,C13,未关联已发布配方
型号E,来料单品检,转子外罩,检1个面,D13,未关联已发布配方
型号E,来料单品检,冷指基座,检1个面,H13,未关联已发布配方
型号E,来料单品检,冷指保护筒,检1个面,I13,未关联已发布配方
型号E,来料单品检,阀钉,检1个面,J13,未关联已发布配方
型号E,装配前打包成组检,大底座,检4个面,K13,未关联已发布配方
型号E,装配前打包成组检,压缩端盖,检1个面,L13,未关联已发布配方
型号E,装配前打包成组检,转子外罩,检1个面,M13,未关联已发布配方
型号E,装配前打包成组检,阀钉,检1个面,P13,未关联已发布配方
型号E,入库前半成品检,大底座,检2个面,Q13,未关联已发布配方
型号E,入库前半成品检,阀钉,检1个面,T13,未关联已发布配方
型号F,来料单品检,气缸座,检1个面,F14,未关联已发布配方
型号F,来料单品检,膨胀机底座,检1个面,G14,未关联已发布配方
型号F,来料单品检,冷指基座,检1个面,H14,未关联已发布配方
型号F,来料单品检,冷指保护筒,检1个面,I14,未关联已发布配方
型号F,来料单品检,阀钉,检1个面,J14,未关联已发布配方
型号F,装配前打包成组检,压缩机,检2个面,O14,未关联已发布配方
型号F,装配前打包成组检,阀钉,检1个面,P14,未关联已发布配方
型号F,入库前半成品检,压缩机,检1个面,R14,未关联已发布配方
型号F,入库前半成品检,膨胀机底座,检1个面,S14,未关联已发布配方
型号F,入库前半成品检,阀钉,检1个面,T14,未关联已发布配方
型号G,来料单品检,气缸座,检1个面,F15,未关联已发布配方
型号G,来料单品检,膨胀机底座,检1个面,G15,未关联已发布配方
型号G,来料单品检,冷指基座,检1个面,H15,未关联已发布配方
型号G,来料单品检,冷指保护筒,检1个面,I15,未关联已发布配方
型号G,来料单品检,阀钉,检1个面,J15,未关联已发布配方
型号G,装配前打包成组检,压缩机,检2个面,O15,未关联已发布配方
型号G,装配前打包成组检,阀钉,检1个面,P15,未关联已发布配方
型号G,入库前半成品检,压缩机,检1个面,R15,未关联已发布配方
型号G,入库前半成品检,膨胀机底座,检1个面,S15,未关联已发布配方
型号G,入库前半成品检,阀钉,检1个面,T15,未关联已发布配方
型号H,来料单品检,气缸座,检1个面,F16,未关联已发布配方
型号H,来料单品检,膨胀机底座,检1个面,G16,未关联已发布配方
型号H,来料单品检,冷指基座,检1个面,H16,未关联已发布配方
型号H,来料单品检,冷指保护筒,检1个面,I16,未关联已发布配方
型号H,来料单品检,阀钉,检1个面,J16,未关联已发布配方
型号H,装配前打包成组检,压缩机,检2个面,O16,未关联已发布配方
型号H,装配前打包成组检,阀钉,检1个面,P16,未关联已发布配方
型号H,入库前半成品检,压缩机,检1个面,R16,未关联已发布配方
型号H,入库前半成品检,膨胀机底座,检1个面,S16,未关联已发布配方
型号H,入库前半成品检,阀钉,检1个面,T16,未关联已发布配方
型号I,来料单品检,气缸座,检1个面,F17,未关联已发布配方
型号I,来料单品检,膨胀机底座,检1个面,G17,未关联已发布配方
型号I,来料单品检,冷指基座,检1个面,H17,未关联已发布配方
型号I,来料单品检,冷指保护筒,检1个面,I17,未关联已发布配方
型号I,来料单品检,阀钉,检1个面,J17,未关联已发布配方
型号I,装配前打包成组检,压缩机,检2个面,O17,未关联已发布配方
型号I,装配前打包成组检,阀钉,检1个面,P17,未关联已发布配方
型号I,入库前半成品检,压缩机,检1个面,R17,未关联已发布配方
型号I,入库前半成品检,膨胀机底座,检1个面,S17,未关联已发布配方
型号I,入库前半成品检,阀钉,检1个面,T17,未关联已发布配方
